input_id	dealiased_id	standard_id	short_id
isbn:0190841168	isbn:0190841168	isbn:9780190841164	1GcAkA1FX
url:http://proceedings.mlr.press/v81/buolamwini18a/buolamwini18a.pdf	url:http://proceedings.mlr.press/v81/buolamwini18a/buolamwini18a.pdf	url:http://proceedings.mlr.press/v81/buolamwini18a/buolamwini18a.pdf	M5iKzYGg
isbn:0674258940	isbn:0674258940	isbn:9780674258945	11z0HOBna
doi:10.1001/jamanetworkopen.2020.0265	doi:10.1001/jamanetworkopen.2020.0265	doi:10.1001/jamanetworkopen.2020.0265	odIgeu98
doi:10.1038/nbt.4128	doi:10.1038/nbt.4128	doi:10.1038/nbt.4128	nw5braAS
doi:10.1038/sdata.2016.11	doi:10.1038/sdata.2016.11	doi:10.1038/sdata.2016.11	LArYGREf
doi:10.1177/0162243912470009	doi:10.1177/0162243912470009	doi:10.1177/0162243912470009	ZvwpEFTA
doi:10.1177/1556264615592388	doi:10.1177/1556264615592388	doi:10.1177/1556264615592388	10J8KhM0p
doi:10.5334/dsj-2017-008	doi:10.5334/dsj-2017-008	doi:10.5334/dsj-2017-008	6j990tze
url:https://datasociety.net/wp-content/uploads/2018/02/DataSociety_Fairness_In_Precision_Medicine_Feb2018.pdf	url:https://datasociety.net/wp-content/uploads/2018/02/DataSociety_Fairness_In_Precision_Medicine_Feb2018.pdf	url:https://datasociety.net/wp-content/uploads/2018/02/DataSociety_Fairness_In_Precision_Medicine_Feb2018.pdf	EIBAJZJB
doi:10.1037/amp0000240	doi:10.1037/amp0000240	doi:10.1037/amp0000240	vzr6hitM
